Id_index,Job_Title,company,Sector,region,technologies,skills,certifications,soft_skills,languages,experience_years,Type_Contrat,level_study,Tasks,source
680,Data Scientist,oracle,Technology and IT Services,Casablanca-Settat,"Python, Java, SQL","Python, Java, SQL, Not Specified",,"Teamwork, Adaptability, Organizational skills, Motivation, Communication","French, English",2 ans,NOT SPECIFIED,Bac +3,"Design, develop, and maintain AI and ML models, Perform data processing, cleansing and quality verification, Ensure data curation by implementing proper labeling and classifications, Leverage NLP techniques to categorize textual inputs, Conduct rigorous testing and validation processes, Stay updated with the latest advancements in AI and machine learning, Engage with stakeholders to translate complex business requirements into robust technical solutions, Participate in the full lifecycle of the project from conception through deployment and ongoing maintenance.",google
681,Machine Learning Engineer,jobexpo.ma,Recruitment,Not specified,"JavaScript, typescript, next.js, react, Tailwind CSS, Express, mongo, Python, Java, C++, TensorFlow, PyTorch, scikit-learn","JavaScript, typescript, next.js, react, Tailwind CSS, Express, mongo, Python, Java, C++, TensorFlow, PyTorch, scikit-learn, data visualization",,Not Specified,French,5 ans,NOT SPECIFIED,Bac +3,"Collaborate with cross-functional teams to develop, implement, and deploy AI models and algorithms, Design and implement machine learning and deep learning systems to address business challenges, Conduct data analysis and preprocessing to prepare datasets for model training and evaluation, Stay updated on the latest advancements in AI and machine learning research to integrate new techniques and technologies into our solutions, Optimize and fine-tune AI models for performance, scalability, and efficiency, Work closely with stakeholders to understand requirements and translate them into technical solutions.",google
682,Machine Learning Engineer,marketing call center,Business Process Outsourcing,Rabat-Salé-Kénitra,Not Specified,Not Specified,,"Communication, Problem solving, Analytical skills","English, Dutch",2 ans,CDI,Bac +5,Développer des solutions d’intelligence artificielle,wetech
683,Machine Learning Engineer,yo it group,Technology and IT Services,Not specified,"C, Leetcode, Hackerrank","C programming, Leetcode, Structured programming, Data structures, Datasets creation, Problem-solving, Creativity, Algorithms, Attention to detail, Competitive programming, Task design, Research collaboration, Problem solving, Clear task description, Hackerrank, C, English communication, Designing reasoning tasks, Data analysis, Programming challenge design, Analytical skills, Team collaboration, Creative task design, Coders, English proficiency, Descriptive writing, Software development, Oral communication, Program design, Structured programming challenges, Creating datasets, Programming design, Data set creation, Structured programming, Collaboration, Data structure design, Written communication, Programming tasks, Collaborative skills, Structural programming, Logical reasoning",,"Collaboration, Communication, Créativité",Not Specified,3 ans,NOT SPECIFIED,Not Specified,"Design and develop structured reasoning tasks, Create datasets, Collaborate with researchers and engineers, Refine and iterate on task designs, Ensure clarity, consistency, and high-quality standards in task descriptions",linkedin
684,Machine Learning Engineer,novancy one,Consulting,Not specified,"TensorFlow, PyTorch, Hugging Face","TensorFlow, PyTorch, Hugging Face, Gestion de mises à jour de modèles, Résolution de bugs, Optimisation des pipelines IA, Communication en équipe, Résolution de problèmes, Adaptabilité",,"Communication
english",Not Specified,Not Specified,FREELANCE,Bac +5,"Mise en place de solutions GenIA, Développement et Implémentation, Tests et Validation, Maintenance, Capacité à travailler en équipe et à communiquer avec des parties prenantes non techniques, Résolution de problèmes complexes et autonomie, Flexibilité pour s'adapter aux évolutions rapides des technologies.",Bayt
685,Machine Learning Engineer,novancy one,Consulting,Not specified,"TensorFlow, PyTorch, Hugging Face, RESTful APIs, GitLab CI, Jenkins, Weights & Biases, MLFlow","TensorFlow, PyTorch, Hugging Face, RESTful APIs, GitLab CI, Jenkins, Weights & Biases, MLFlow, Not Specified",,Collaboration,Not Specified,0 ans,FREELANCE,Bac +5,"Mise en place de solutions GenIA, Développement et Implémentation, Tests et Validation, Maintenance, Capacité à travailler en équipe et à communiquer avec des parties prenantes non techniques, Résolution de problèmes complexes et autonomie, Flexibilité pour s'adapter aux évolutions rapides des technologies.",Option Carriere
686,Machine Learning Engineer,terraa,Technology and IT Services,Casablanca-Settat,Python,Python,,"Collaboration, Interpersonal skills, Rigor, Autonomy, Organizational skills, Writing skills, Analytical skills, Synthesis skills, Teamwork, Communication","French, English",Not Specified,NOT SPECIFIED,Not Specified,Co,linkedin
687,Machine Learning Engineer,marketing call center,Business Process Outsourcing,Casablanca-Settat,"Python, SQL, TensorFlow, PyTorch, Scikit-learn, Pandas, AWS, Azure, GCP, Docker, Kubernetes","Python, SQL, TensorFlow, PyTorch, Scikit-learn, Pandas, AWS, Azure, GCP, supervised/unsupervised learning, deep learning, NLP, computer vision, Docker, Kubernetes",,"Communication, Teamwork, Attention to detail","French, English",5 ans,CDI,Bac +3,"Design and Develop AI Models, Data Processing and Feature Engineering, Algorithm Optimization, Model Deployment and Monitoring, Cross-Functional Collaboration, Mentorship, Stay Updated",indeed
688,Machine Learning Engineer,idemia,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Responsibility, Social, Development, Leadership",Not Specified,Not Specified,NOT SPECIFIED,Not Specified,"Uses programming, scripting and database languages to write software code that meets requirements and that optimizes software performances, Identifies existing software components, libraries and frameworks to reuse in the solutions, Applies knowledge of software development best practices, including coding standards, secure coding, code reviews, source control management, build processes, testing, and operations, Contributes to requirement (functional and non-functional) analysis and estimations, Supports software testing, deployment, maintenance, and evolution activities by correcting programming errors, responding to scope changes, and coding software enhancements, Builds up software structure including functions, design patterns, layers, etc., Documents and demonstrates solutions by developing code comments, layouts, diagrams and charts",google
689,Machine Learning Engineer,miacorps,Services,Tanger-Tétouan-Al Hoceima,"Python, Java, C++, TensorFlow, PyTorch, scikit-learn","Python, Java, C++, TensorFlow, PyTorch, scikit-learn",,"Agilité intellectuelle, Curiosité",Not Specified,5 ans,CDI,Bac +5,"Concevoir des solutions d'intelligence artificielle, Développer des solutions d'intelligence artificielle, Travailler en étroite collaboration avec les équipes métier, Participer à toutes les étapes du cycle de vie des projets, Exploiter et analyser des ensembles de données, Développer des modèles d'apprentissage automatique, Développer et maintenir des algorithmes d'apprentissage automatique, Assurer une veille technologique, Participer à la documentation et à la formation des équipes, Encadrer les stagiaires.",google
690,Machine Learning Engineer,talent performer,Recruitment,Casablanca-Settat,Not Specified,Not Specified,,"Problem solving, Collaboration",Not Specified,0 ans,STAGE,Not Specified,"Upskilling en sprint pour apprendre à utiliser les outils de dev co-pilot et outils IA marchés, Co-construire avec les équipes des agents IA sur base de cahier de charge technique, Participation à la veille des Tech Stack IA",Linkedin
691,Machine Learning Engineer,g2i inc.,Technology and IT Services,Marrakech-Safi,"Python, Java, JavaScript, TypeScript, C++, SQL, Swift, Ruby, Rust, Go, NET, Matlab, PHP, HTML, DART, R, Apex, Shell, C, C#","Python, Java, JavaScript, TypeScript, C++, SQL, Swift, Ruby, Rust, Go, NET, Matlab, PHP, HTML, DART, R, Apex, Shell, C, C#",,"Attention to detail, Reading comprehension, Writing skills","Arabic, Spanish",3 ans,NOT SPECIFIED,Bac +3,"Evaluating the quality of AI-generated code, including human-readable summaries of your rationale, Solve coding problems, writing functional and efficient code, Writing robust test cases to confirm code works efficiently and effectively",indeed
692,Machine Learning Engineer,oracle,Technology and IT Services,Casablanca-Settat,"AI, LLM, ML","AI, LLM, ML",,Communication,English,Not Specified,NOT SPECIFIED,Not Specified,"lead high-performing engineers, mentor high-performing engineers, develop AI solutions, develop LLM solutions, develop ML solutions.",google
693,Machine Learning Engineer,red tic,Technology and IT Services,Casablanca-Settat,"Java, Python, AI, LLM, ML, ERP systems","Java, Python, AI, LLM, ML, distributed systems, data structures design, database architecture, ERP systems.",,"Adaptability, Growth mindset, Commitment to professional development",Not Specified,5 ans,CDI,Not Specified,"Lead developers and testers to design, implement and test software, Lead technology exploration, experimentation, development and release of a wide array of A.I. solutions relevant to Oracle ERP solutions, Build out a strong development team delivering on Artificial Intelligence, Large Language Models, Machine Learning and related solution spaces, Provide technical mentorship on designing, implementing, and supporting new and existing services of organizational information systems and software applications, Improve processes and project management, sprint management, and code quality to help the team operate efficiently, Collaborate on architectural design reviews and changes, Articulate technical characteristics of services and technology areas and guide Development Teams to engineer and add premier capabilities to our solutions, Partner with other operation and development teams in defining and implementing improvements in service architecture and resiliency, Understand and communicate the scale, capacity, security, performance attributes, and requirements of the service and technology stack, Be able to engage in finer points of code reviews and test plan reviews if necessary, Build opportunities for career and skills development.",linkedin
694,Machine Learning Engineer,vit,Services,Rabat-Salé-Kénitra,"Python, TensorFlow, PyTorch, Azure AI, AWS Bedrock, Google AI, LangChain, LlamaIndex, RAG","Python, TensorFlow, PyTorch, Azure AI, AWS Bedrock, Google AI, LangChain, LlamaIndex, RAG",,Not Specified,Not Specified,Not Specified,CDI,Not Specified,"Design, develop, and deploy AI agents that interact with users and automate workflows, Evaluate, compare, and select the most suitable Large Language Models (LLMs) based on specific requirements such as performance, scalability, cost, and data privacy, Fine-tune and optimize AI models to improve accuracy, response time, and contextual understanding, Integrate AI models into existing systems and ensure seamless interaction with enterprise applications, Stay updated on advancements in AI, including open-source and proprietary models, Collaborate with stakeholders to gather requirements and translate them into technical solutions, Implement monitoring and feedback loops to continuously improve AI agent performance",indeed
695,Machine Learning Engineer,vit,Services,Rabat-Salé-Kénitra,"Python, NLP, LLMs, LangChain, RAG, Azure, AWS","Python, NLP, LLMs, LangChain, RAG, Azure, AWS, prompt engineering, ethical AI",,"Teamwork, Adaptability",Not Specified,Not Specified,NOT SPECIFIED,Not Specified,"développer des solutions IA, peaufiner des modèles, les intégrer dans des systèmes, surveiller les performances",Glassdoor
696,Machine Learning Engineer,indatacore,Technology and IT Services,Casablanca-Settat,"Apache Kafka, Spring Boot, Angular, Flutter","AI, DevOps, Fullstack, Data Science, machine learning, intelligence artificielle, Automatisation, pipelines de développement, gestion des déploiements, Apache Kafka, Spring Boot, Angular, Flutter, Conception, développement, applications mobiles",,"Attention to detail, Ability to work independently","English, Arabic",0 ans,STAGE,Not Specified,"Développement de solutions d’analyse avancée, machine learning et intelligence artificielle, Automatisation des pipelines de développement et gestion des déploiements en machine learning, Intégration et gestion des flux de données avec Apache Kafka, Développement d’applications web robustes et dynamiques, Conception et développement d’applications mobiles multiplateformes.",Dreamjob
697,Machine Learning Engineer,stellantis,Automotive,Casablanca-Settat,"Python, C++, Tensorflow, Pytorch","Python, C++, machine learning, deep neural networks infrastructure knowledge, inference engine knowledge, Tensorflow, Pytorch, embedded computing",,"Autonomie, Rigueur, Sens du service client, Qualités relationnelles","French, English",5 ans,CDI,Bac +5,"Développement des fonctionnalités, Optimisation des modèles d'apprentissage profond, Implémentation sur les cibles ECU, Interaction avec d'autres équipes de développement en IA, Exécution des entraînements et validations en apprentissage automatique, Configuration des outils associés aux workflows.",linkedin
698,Machine Learning Engineer,welocalize,Technology and IT Services,Not specified,Not Specified,Not Specified,,Innovation,Not Specified,Not Specified,FREELANCE,Not Specified,"Follow project-specific guidelines to assess and contrast two replies given by a retail assistant in response to a particular customer question, Evaluate the responses based on parameters like safety, pertinence, usefulness, and alignment with the virtual assistant's tone and style, Choose the most appropriate response or determine if both are unsatisfactory.",google
699,AI Researcher,um6p,Education,Béni Mellal-Khénifra,Not Specified,Not Specified,,"Teamwork, Communication","French, English",Not Specified,NOT SPECIFIED,Not Specified,Not Specified,Dreamjob
700,Machine Learning Engineer,talent performer,Recruitment,Casablanca-Settat,Not Specified,Not Specified.,,"Passion, Learning",Not Specified,Not Specified,STAGE,Not Specified,"Upskilling en sprint pour apprendre à utiliser les outils de dev co-pilot et outils IA marchés, Co-construire avec les équipes des agents IA sur base de cahier de charge technique, Participation à la veille des Tech Stack IA",Linkedin
701,Machine Learning Engineer,pizza hut digital & technology,Food and Beverage,Guelmim-Oued Noun,"Python, SQL, Excel","Python, SQL, Excel",,Not Specified,Not Specified,1 an,NOT SPECIFIED,Bac +3,"Monitor machine learning pipelines, APIs, and deployment environments for errors and performance degradation, Troubleshoot issues related to model inference, deployment failures, or infrastructure bottlenecks, Perform root cause analysis for system incidents, documenting findings and implementing preventive measures, Support CI/CD workflows for model updates and pipeline changes, Act as the first responder for MLE-related incidents detected via monitoring tools or reported by users, Escalate unresolved issues to MLEs or engineering teams and follow through to resolution, Track incident metrics (e.g., mean time to resolution) and provide insights for operational improvement, Partner with MLEs to support the deployment of new models and infrastructure changes, Collaborate with Data Scientists and AI Engineers to ensure seamless handoffs and alignment on system requirements, Contribute to the development of operational playbooks for model deployments and infrastructure support, Identify opportunities to automate repetitive tasks, such as scaling model endpoints or managing resource utilization.",linkedin
702,Machine Learning Engineer,translated s.r.l.,Business Process Outsourcing,Not specified,Not Specified,Not Specified,,"Teamwork, Communication, Collaboration, Autonomy, Motivation",Not Specified,Not Specified,NOT SPECIFIED,Not Specified,"évaluer la performance des modèles de langage, passer en revue les prompts et les réponses, veiller à ce que les sorties soient conformes aux directives établies, fournir une formation guidée par l'humain.",google
703,Machine Learning Engineer,braintrust,Technology and IT Services,Not specified,"Python, Java, JavaScript, TypeScript, SQL, C, C++, C#","Python, Java, JavaScript / TypeScript, SQL, C/C++/C#",,"Communication, Innovation, Problem solving",Not Specified,Not Specified,NOT SPECIFIED,Bac +3,Not Specified,Linkedin
704,Machine Learning Engineer,punch digital agency,Technology and IT Services,Casablanca-Settat,"Linux, Docker, Git, SQL, MongoDB, Keras, PyTorch","Linux, Docker, Git, CI/CD pipelines, Computer Vision techniques, High-performance computing, Parallel processing, Network/messaging protocols, SQL, MongoDB, ML frameworks (Keras, PyTorch), Data structures, Data modeling, Software architecture, Math, Probability, Statistics, Algorithms, Machine Learning/AI Engineer, ML applications.",,"Team spirit, Communication, Problem solving, Multilingual",Not Specified,Not Specified,NOT SPECIFIED,Not Specified,"Study and transform data science prototypes into scalable solutions, Design and develop machine learning systems and applications based on requirements, Research, implement, and optimize AI/ML algorithms and tools, Select appropriate datasets and data representation techniques, Run AI tests and experiments, analyze results, and fine-tune models as needed, Train, retrain, and improve machine learning systems when necessary, Extend existing machine learning libraries and frameworks to enhance capabilities, Conduct statistical analysis to validate and refine AI/ML models, Stay updated with the latest trends and advancements in AI/ML.",indeed
705,Machine Learning Engineer,punch digital agency,Technology and IT Services,Not Specified,"Linux, Docker, Git, CI/CD, Keras, PyTorch, SQL, MongoDB","Linux, DevOps (Docker, Git, CI/CD), Computer Vision, ML frameworks (Keras, PyTorch), databases (SQL, MongoDB), data structures, programming",,"Analytical skills, Creativity, Attention to detail, Problem solving skills, Team collaboration, Collaboration, Communication, Communication skills, Collaborative skills",English,10 ans,NOT SPECIFIED,Not Specified,"transforming data science prototypes into scalable solutions, designing ML systems, optimizing algorithms, conducting tests and statistical analysis",Glassdoor
706,Data Annotator,unspecified,,Not specified,Not Specified,Not Specified,,Not Specified,French,Not Specified,FREELANCE,Not Specified,"analyzing task types, researching which is better, analyzing queries, selecting relevant responses, creating an account, signing up, confirming email and setting up password, selecting country and primary language, applying for the project",google
707,Machine Learning Engineer,mascir,Education,Rabat-Salé-Kénitra,"Postgresql, Mysql, Sql Server, Python, C/C++, Java, Linux, Keras, Tensorflow, RNN, CNN","Postgresql, Mysql, Sql Server, Python, C/C++, Java, scripting sous Linux, Deep learning, Keras, Tensorflow, Algorithmes IA: RNN, CNN, décision tree",,"Teamwork, Communication, Problem solving, Proactivity, Innovation, Autonomy",English,Not Specified,CDD,Bac +5,"La digitalisation des différentes activités, Participer aux développements des projets dans le domaine de l’intelligence artificielle, Elaborer des plans de validation et exécuter des tests, Rédiger les propositions techniques",google
708,Machine Learning Engineer,circet maroc,Technology and IT Services,Casablanca-Settat,"Python, TensorFlow, Scikit-learn","Python, TensorFlow, Scikit-learn, innovation technologique, IA, machine learning",,"Teamwork, Problem solving, Analytical skills, Communication, Transparency, Honesty",Not Specified,Not Specified,NOT SPECIFIED,Not Specified,"Développer et implémenter des modèles d’IA pour améliorer les performances des systèmes, Travailler sur des projets d’optimisation de réseau à l’aide de techniques de machine learning, Analyser les données massives générées par les systèmes pour identifier des tendances et des anomalies, Participer à la mise en place de solutions d’automatisation basées sur l’IA.",google
709,Machine Learning Engineer,astek,Technology and IT Services,Rabat-Salé-Kénitra,"Python, Java, C++, TensorFlow, PyTorch, Keras, Excel, VBA, SQL, NoSQL","Python, Java, C++, TensorFlow, PyTorch, Keras, Excel, VBA, SQL, NoSQL",,"Creativity, Adaptability, Collaboration","French, English, Arabic",10 ans,NOT SPECIFIED,Bac +5,"développer des solutions IA en utilisant les API et les interfaces d’intelligence artificielle disponibles, intégrer les solutions avec l'écosystème technique existant, concevoir des modèles prédictifs pour améliorer la qualité des livrables, définir les exigences techniques avec les équipes de Pricing_Analysts et de marketing et formaliser les expressions de besoins, être le garant de la qualité des livrables et de leur documentation",Linkedin
710,Machine Learning Engineer,crossover,Technology and IT Services,Not specified,Not Specified,Not Specified,,"Curiosity, Problem solving, Communication, Teamwork","English, French",5 ans,NOT SPECIFIED,Not Specified,"Proposing and conducting experiments with generative AI to enhance engineering processes, including problem decomposition, solution design, code generation, and advanced troubleshooting, Documenting best practices and techniques in playbooks and guides that enable others to harness the power of generative AI effectively, Using these AI tools and techniques to develop and ship actual features and products.",google
711,Machine Learning Engineer,alten,Technology and IT Services,Fès-Meknès,Not Specified,Not Specified,,Communication,Not Specified,0 ans,STAGE,Bac +5,"explorer des projets d'intelligence artificielle, acquérir une première expérience pratique",Rekrute
712,Machine Learning Engineer,bi newvision,Technology and IT Services,Casablanca-Settat,"Python, machine learning, deep learning","Python, machine learning, deep learning, intelligence artificielle, autonomie, solutions innovantes, esprit d’équipe, capacités d’analyse et de synthèse, motivation",Teradata,"Communication, Collaboration, Time management, Organizational",English,0 ans,NOT SPECIFIED,Bac +5,Not Specified,Dreamjob
713,Machine Learning Engineer,univirsal visa gold,Financial Services,Souss-Massa,"AWS, Azure, Google Cloud, IA, Machine Learning","Cloud Computing, Intelligence Artificielle, AWS, Azure, Google Cloud, Développement et déploiement d'applications Cloud, IA, Machine Learning","AWS, Azure, Google cloud","Curious, Motivated","French, English",Not Specified,CDI,Bac +5,Not Specified,indeed
714,Machine Learning Engineer,valhko,Services,Rabat-Salé-Kénitra,"Python, TensorFlow, PyTorch, Hugging Face","Python, TensorFlow, PyTorch, Hugging Face, Problem-solving, Research skills, Communication, Teamwork, Passion for sustainability, English, French",,"Collaboration, Mentoring, Agile",English,0 ans,STAGE,Bac +3,"Collaborate with the Mapu team to design, develop, and implement intelligent AI agents, Focus on the integration of LLMs and retrieval-augmented generation (RAG) to power decision-making processes, Assist in fine-tuning and deploying large language models for various applications, Develop scalable and efficient machine learning models that enhance AI agent capabilities, Troubleshoot AI agent deployment, including addressing model configuration and technical issues, Research emerging technologies to improve AI agent performance and integrate them into our solutions, Stay informed on the latest trends in AI/ML, focusing on agent-based systems and their applications in sustainability, Support other AI/ML-related tasks as needed.",indeed
715,Machine Learning Engineer,alten,Technology and IT Services,Fès-Meknès,"Python, TensorFlow, PyTorch, Scikit-learn","Python, TensorFlow, PyTorch, Scikit-learn, data manipulation",,"Teamwork, Communication, Leadership, Proactivity, Time management, Prioritization, Analytical skills","French, English",0 ans,STAGE,Not Specified,"développer AI modèles, analyser des données, tester modèles dans environnements réels, intégrer modèles dans environnements opérationnels.",Glassdoor
716,Machine Learning Engineer,go & dev,Technology and IT Services,Rabat-Salé-Kénitra,"Python, TensorFlow, PyTorch, LangChain","Python, TensorFlow, PyTorch, LangChain, IA, LLM, NLP",,"Autonomie, Teamwork, Communication, Analysis",English,0 ans,STAGE,Bac +5,"Développer et entraîner des modèles d’IA pour des chatbots intelligents, Explorer et implémenter des solutions utilisant des modèles de langage large (LLM), Améliorer la compréhension du langage naturel à travers des techniques avancées de traitement du langage naturel (NLP), Optimiser et tester les performances des modèles pour garantir leur efficacité, Collaborer avec les équipes techniques pour intégrer les solutions dans des applications réelles.",indeed
717,Machine Learning Engineer,cybergenix,Technology and IT Services,Not Specified,"Python, PyTorch, TensorFlow, LangChain, vLLM, Docker, Kubernetes, Triton","Python, PyTorch, TensorFlow, LangChain, vLLM, Docker, Kubernetes, Triton, vLLM, Not Specified",,"Teamwork, Communication",English,0 ans,STAGE,Bac +5,"Développer des modèles IA pour l'automatisation du cycle de développement logiciel, Optimiser et ajuster des modèles open-source pour répondre aux besoins spécifiques de l'entreprise, Intégrer l'IA dans des solutions applicatives (chatbots, copilotes IA, automatisation des processus), Assurer le déploiement et la scalabilité des modèles sur serveurs ou infrastructures cloud, Effectuer une veille technologique et explorer les dernières avancées en IA appliquée au développement logiciel.",indeed
718,Machine Learning Engineer,alten,Technology and IT Services,Fès-Meknès,"Python, TensorFlow, PyTorch, Scikit-learn","Python, TensorFlow, PyTorch, Scikit-learn, manipulation de bases de données",,"Teamwork, Communication, Problem solving, Flexibility",Not Specified,0 ans,STAGE,Bac +5,"Développement de modèles d’IA, Automatisation des processus IT, Analyse exploratoire et traitement des données, Intégration et documentation des modèles",indeed
719,Machine Learning Engineer,oracle,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Teamwork, Communication, Problem solving, Autonomy, Flexibility",Not Specified,3 ans,NOT SPECIFIED,Not Specified,"développer LLMs, développer des applications d'IA générale",google
720,Machine Learning Engineer,cih bank,Financial Services,Casablanca-Settat,"Python, R, SQL, TensorFlow, PyTorch, Keras, Scikit-Learn, Jupyter Notebooks, Anaconda","Python, R, SQL, TensorFlow, PyTorch, Keras, Scikit-Learn, Jupyter Notebooks, Anaconda",,"Teamwork, Communication, Problem solving, Flexibility",Not Specified,5 ans,CDI,Not Specified,"Développer et diriger la stratégie IA de la banque, Superviser et coordonner les projets IA en collaboration et de manière transverse avec les différentes entités de la Banque, Identifier et évaluer les opportunités d’utilisation de l’IA pour améliorer les services bancaires, Former et encadrer une équipe d’experts en IA (internes et/ou externes), Travailler en étroite collaboration avec des partenaires externes et des fournisseurs de technologie, Évaluer et implémenter des technologies avancées et des plateformes d'IA.",indeed
721,Machine Learning Engineer,alten,Technology and IT Services,Not specified,"Python, C, Java, TensorFlow, PyTorch, Scikit-learn, SQL, pandas, Spark, AWS, Google Cloud, Azure","Python, C, Java, TensorFlow, PyTorch, Scikit-learn, SQL, pandas, Spark, AWS, Google Cloud, Azure, statistics, linear algebra, optimization, MLOps",,"Communication, Problem solving, Analytical skills",English,5 ans,NOT SPECIFIED,Bac +5,"Design AI solutions, develop AI solutions, deploy AI solutions, identify improvements to existing systems using AI, ensure model robustness and scalability through testing and validation, conduct studies on algorithmic biases, propose solutions to reduce biases, ensure technological monitoring, anticipate trends in AI field, document processes, support internal teams.",google
722,Machine Learning Engineer,berger-levrault,Technology and IT Services,Rabat-Salé-Kénitra,"UML, Python, Java, Angular, REST, CI/CD, GitLab CI, Go, Spring, Kubernetes, OpenIDConnect/JWT","UML, Python, Java, Angular, REST, CI/CD, GitLab CI, Agile, Scrum, DevSecOps, documentation, squad team, Go, Spring, Kubernetes, OpenIDConnect/JWT, anglais.",,"Problem solving, Ownership",Not Specified,5 ans,CDI,Bac +5,"Contribuer à la conception technique et design et de l’architecture des services, Contribuer aux développements des services, aux merge requests et code reviews, Améliorer la chaine de production et inscrire les projets de l’équipe dans une démarche DevSecOps, Améliorer la performance, la sécurité et la disponibilité des services, anticiper la croissance, Rédiger la documentation, et des guidelines pour l’équipe, Accompagner les projets d’intégration avec les équipes des Business Unit",linkedin
723,Machine Learning Engineer,novancy one,Consulting,Not specified,Not Specified,Not Specified,,Not Specified,Not Specified,0 ans,FREELANCE,Bac +5,"Accompagnement pour la mise en place de solutions GenIA, Bonne maîtrise des modèles génératifs, Connaissance des frameworks et librairies IA, Capacité à travailler sur des solutions NLP, Full Cloud, Hybride, On-Premise, Cadrage des besoins métier et traduction en spécifications techniques, Évaluation des coûts, Collaboration avec équipes techniques et business, Capacité à travailler en équipe et à communiquer avec des parties prenantes non techniques, Résolution de problèmes complexes et autonomie, Flexibilité pour s'adapter aux évolutions rapides des technologies",google
724,Machine Learning Engineer,novancy one,Consulting,Not specified,NLP,"Expertise Générale en IA, Bonne maîtrise des modèles génératifs, Connaissance des frameworks et librairies IA, Capacité à travailler sur des solutions NLP, Full Cloud, Hybride, On-Premise, Cadrage des besoins métier et traduction en spécifications techniques, Évaluation des coûts, Collaboration avec équipes techniques et business, Capacité à travailler en équipe et à communiquer avec des parties prenantes non techniques, Résolution de problèmes complexes et autonomie, Flexibilité pour s'adapter aux évolutions rapides des technologies",,"Communication, Interpersonal skills",English,Not Specified,FREELANCE,Bac +5,"Accompagnement pour la mise en place de solutions GenIA, Expertise Générale en IA, Compétences Techniques d’Architecture, Gestion de Projet IA, Soft Skills",Option Carriere
725,Machine Learning Engineer,excelium carrières,Recruitment,Casablanca-Settat,Not Specified,Not Specified,,"Communication, Interpersonal skills",Not Specified,Not Specified,CDI,Not Specified,"Développer et implémenter des solutions innovantes basées sur l'IA, Analyser les données pour résoudre des problématiques du quotidien, Collaborer avec des équipes multidisciplinaires pour intégrer l'IA dans des projets stratégiques, Assurer une veille technologique pour rester à la pointe des avancées en IA.",indeed
726,Machine Learning Engineer,alten,Technology and IT Services,Fès-Meknès,"Python, C, Java, TensorFlow, PyTorch, SQL, pandas, Tableau","Python, C, Java, TensorFlow, PyTorch, SQL, pandas, Tableau",,"Communication, Problem solving, Detail oriented, Analytical",Not Specified,3 ans,CDI,Bac +5,"Concevoir des algorithmes d'IA, Développer des algorithmes d'IA, Optimiser des algorithmes d'IA, Collaborer avec des équipes multidisciplinaires, Intégrer des solutions IA dans les systèmes existants, Effectuer des tests rigoureux pour les modèles d'IA, Assurer le respect des bonnes pratiques en matière d'éthique pour les solutions IA",Option Carriere
727,Machine Learning Engineer,alten,Technology and IT Services,Rabat-Salé-Kénitra,Not Specified,Not Specified,,"Teamwork, Communication",English,5 ans,CDI,Bac +5,"développement de solutions IA avancées, implémentation de solutions IA",Rekrute
728,AI Researcher,gb tech inc,Technology and IT Services,Casablanca-Settat,"Scratch, Python, Unity","Robotics, AI, Scratch, Python, Game Design, Web Development, Graphic Design, Video Content, Unity, Frontend Development.",,"Communication, Teamwork, Problem solving, Research","English, French",Not Specified,NOT SPECIFIED,Not Specified,"Enseigner des cours de programmation pour enfants en robotique, en intelligence artificielle, en Scratch, en Python, en conception de jeux, en développement web, en design graphique, en création de contenu vidéo, en Unity, en développement frontend",indeed
729,Machine Learning Engineer,g2i inc.,Technology and IT Services,Marrakech-Safi,"Python, Java, JavaScript, TypeScript, C++, SQL, Swift, Ruby, Rust, Go, .NET, Matlab, PHP, HTML, DART, R, Apex, Shell, C, C#","Python, Java, JavaScript, TypeScript, C++, SQL, Swift, Ruby, Rust, Go, .NET, Matlab, PHP, HTML, DART, R, Apex, Shell, C, C#",,Not Specified,"French, English",3 ans,NOT SPECIFIED,Bac +3,"Évaluer la qualité du code généré par l'IA, résoudre des problèmes de codage, rédiger des tests robustes pour confirmer le bon fonctionnement du code, Se livrer à des problèmes de codage, écrivant du code fonctionnel et efficace, Rédiger des cas de test robustes pour confirmer que le code fonctionne efficacement et efficacement",indeed
730,Machine Learning Engineer,unspecified,,Not specified,Not Specified,Not Specified,,"Curiosité, Esprit innovant, Esprit critique, Rigueur, Autonomie, Communication","French, English",Not Specified,NOT SPECIFIED,Not Specified,"Help train and develop artificial intelligence algorithms, shoot six short videos of performing hand gestures, work with a leading technology company, simulate a video conference environment, follow instructions.",google
